Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
375,Olivier Ntcham,MF,cm Cameroon,26,1996,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,30.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,6554bb97
376,Aaron Ramsey,MF,wls Wales,31,1990,3.0,0,1,0,0.0,0.34,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,ef619b0b
377,Christopher Wooh,DF,cm Cameroon,20,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,,15.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,b003239d
378,Sofyan Amrabat,MF,ma Morocco,25,1996,7.3,0,1,0,0.0,0.14,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,5a2cb25d
379,Abdou Diallo,DF,sn Senegal,26,1996,3.7,0,1,0,0.0,0.27,0.00,0.00,,15.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,fc62f087
380,Rúben Dias,DF,pt Portugal,25,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,31c69ef1
381,Edimilson Fernandes,FWDF,ch Switzerland,26,1996,1.6,0,1,0,0.0,0.62,0.00,0.00,,24.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,3bb625ac
382,Przemysław Frankowski,MF,pl Poland,27,1995,2.7,0,1,0,0.0,0.37,0.00,0.00,,15.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,00a8d210
383,Ali Gholizadeh,MFFW,ir IR Iran,26,1996,2.2,0,1,0,0.0,0.45,0.00,0.00,,26.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,9fc0ac41
384,Ajdin Hrustic,MFFW,au Australia,25,1996,0.7,0,1,0,0.0,1.45,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,1f2d714c
385,Josip Juranović,DF,hr Croatia,26,1995,6.7,0,1,0,0.0,0.15,0.00,0.00,,18.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,0a084b35
386,Jakub Kiwior,DF,pl Poland,22,2000,3.9,0,1,0,0.0,0.25,0.00,0.00,,10.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,dc3e663e
387,Aymeric Laporte,DF,es Spain,28,1994,3.3,0,1,0,0.0,0.30,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,119b9a8e
388,Noah Okafor,FWMF,ch Switzerland,22,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,ca607d59
389,Nicolás Otamendi,DF,ar Argentina,34,1988,7.7,0,1,0,0.0,0.13,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,0d267745
390,João Palhinha,MF,pt Portugal,26,1995,0.4,0,1,0,0.0,2.37,0.00,0.00,,33.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,a78ff07f
391,Leandro Paredes,MF,ar Argentina,27,1994,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,30.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,dff153a4
392,Krzysztof Piątek,FW,pl Poland,26,1995,0.3,0,1,0,0.0,3.21,0.00,0.00,,15.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,17f3620a
393,Alex Sandro,DF,br Brazil,31,1991,2.1,0,1,0,0.0,0.47,0.00,0.00,,33.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,0d82903c
394,Na Sang-ho,FW,kr Korea Republic,25,1996,1.3,0,1,1,100.0,0.76,0.76,0.00,0.00,10.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,6af38cdd
395,Jeong Woo-yeong,MF,kr Korea Republic,22,1999,0.5,0,1,0,0.0,2.00,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,6190474d
396,Jung Woo-young,MF,kr Korea Republic,32,1989,3.4,0,1,0,0.0,0.30,0.00,0.00,,25.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,858a34b8
397,Salis Abdul Samed,MF,gh Ghana,22,2000,2.8,0,1,0,0.0,0.36,0.00,0.00,,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,82464ce3
398,Saud Abdulhamid,DFMF,sa Saudi Arabia,22,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,,34.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,caa254e4
399,Tyler Adams,MF,us United States,23,1999,4.0,0,1,0,0.0,0.25,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2b09d998
400,Edson Álvarez,MF,mx Mexico,24,1997,1.9,0,1,1,100.0,0.51,0.51,0.00,0.00,33.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,8b3ab7ad
401,Borna Barišić,DF,hr Croatia,29,1992,1.3,0,1,0,0.0,0.75,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,712dd708
402,José Cifuentes,MF,ec Ecuador,23,1999,0.7,0,1,1,100.0,1.53,1.53,0.00,0.00,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,8c8c07a7
403,Rubin Colwill,MF,wls Wales,20,2002,0.1,0,1,0,0.0,9.00,0.00,0.00,,25.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,f170b63e
404,Jorge Eduardo Sánchez,DF,mx Mexico,24,1997,1.9,0,1,1,100.0,0.51,0.51,0.00,0.00,18.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,c8d1c3a5
405,Collins Fai,DF,cm Cameroon,29,1992,3.0,0,1,0,0.0,0.33,0.00,0.00,,27.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,46e58246
406,Abdulaziz Hatem,MF,qa Qatar,31,1990,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,27.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,c5065ef8
407,Lee Jae-sung,MFFW,kr Korea Republic,29,1992,2.3,0,1,0,0.0,0.43,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,34b0387f
408,Filip Kostić,DF,rs Serbia,29,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,18.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,b1cd37e6
409,Grzegorz Krychowiak,MF,pl Poland,32,1990,3.7,0,1,0,0.0,0.27,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,580d52dd
410,Kwon Kyung-won,DF,kr Korea Republic,30,1992,1.0,0,1,0,0.0,0.99,0.00,0.00,,33.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,ad1516af
411,Marcos Llorente,DF,es Spain,27,1995,1.3,0,1,0,0.0,0.75,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,02c15616
412,Filip Mladenović,DF,rs Serbia,30,1991,0.7,0,1,0,0.0,1.38,0.00,0.00,,10.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,a3eabee0
413,Gonzalo Montiel,DFMF,ar Argentina,25,1997,1.3,0,1,0,0.0,0.76,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,374d5158
414,Matheus Nunes,MF,pt Portugal,23,1998,0.8,0,1,0,0.0,1.23,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,e6af02e0
415,Rodri,DF,es Spain,25,1996,4.3,0,1,0,0.0,0.23,0.00,0.00,,36.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,6434f10d
416,Ferjani Sassi,MFDF,tn Tunisia,30,1992,0.5,0,1,0,0.0,1.87,0.00,0.00,,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,35bf6065
417,Michał Skóraś,MF,pl Poland,22,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,5a80aea3
418,Josip Stanišić,DF,hr Croatia,22,2000,1.0,0,1,0,0.0,1.00,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,7ed08d5c
419,Silvan Widmer,DF,ch Switzerland,29,1993,2.9,0,1,0,0.0,0.34,0.00,0.00,,9.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,f68b64fc
420,Axel Witsel,MF,be Belgium,33,1989,3.0,0,1,0,0.0,0.33,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,5dfc6ad5
421,Taha Yassine Khenissi,FW,tn Tunisia,30,1992,0.3,0,1,0,0.0,3.10,0.00,0.00,,23.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,44d6aedb
422,Francisco Calvo,DF,cr Costa Rica,29,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,706bd23f
423,Joel Campbell,FWMF,cr Costa Rica,29,1992,3.0,0,1,0,0.0,0.33,0.00,0.00,,21.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,895ff3ca
424,Hassan Al-Haydos,MF,qa Qatar,31,1990,2.3,0,1,1,100.0,0.44,0.44,0.00,0.00,29.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,41bd6c64
425,Ismail Jakobs,DF,sn Senegal,22,1999,3.1,0,1,0,0.0,0.32,0.00,0.00,,31.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,a0415710
426,Darko Lazović,DF,rs Serbia,31,1990,0.3,0,1,0,0.0,3.60,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,5128bde4
427,Alidu Seidu,DF,gh Ghana,22,2000,1.7,0,1,0,0.0,0.58,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,cea59f02
428,Montassar Talbi,DF,tn Tunisia,24,1998,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,33.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,a4a44eb0
429,Gerson Torres,MF,cr Costa Rica,24,1997,0.7,0,1,0,0.0,1.41,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,d56713ff
430,Ali Abdi,DF,tn Tunisia,28,1993,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad7cdb35
431,Pape Abou Cissé,DF,sn Senegal,26,1995,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8bc373ea
432,Kellyn Acosta,MF,us United States,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ece10cfe
433,Sam Adekugbe,DF,ca Canada,27,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f2309be
434,Michel Aebischer,MFFW,ch Switzerland,25,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f9c927de
435,Brandon Aguilera,MF,cr Costa Rica,18,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,938fa024
436,Homam Ahmed,DF,qa Qatar,22,1999,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a62fa158
437,Nathan Aké,DF,nl Netherlands,27,1995,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,eaeca114
438,Ahmed Alaaeldin,FW,qa Qatar,29,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,74fbbb3c
439,Toby Alderweireld,DF,be Belgium,33,1989,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f7d50789
440,Trent Alexander-Arnold,DF,eng England,23,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cd1acf9d
441,Alisson,GK,br Brazil,29,1992,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a2e46a8
442,Thiago Almada,MF,ar Argentina,21,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,27f33438
443,Roberto Alvarado,FW,mx Mexico,23,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ff871e14
444,Kevin Álvarez,DF,mx Mexico,23,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,636b0833
445,Néstor Araujo,DF,mx Mexico,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,27a013f7
446,Ali Assadalla,MF,qa Qatar,29,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8e74d3ce
447,Lawrence Ati-Zigi,GK,gh Ghana,25,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a12402c3
448,Nathaniel Atkinson,DF,au Australia,23,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,51caa1f0
449,César Azpilicueta,DF,es Spain,32,1989,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,53cad200
450,Srđan Babić,DF,rs Serbia,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,075fe5a3
451,Hattan Bahebri,MF,sa Saudi Arabia,29,1992,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b4f50ff5
452,Fodé Ballo-Touré,DF,sn Senegal,25,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f449640d
453,Badr Banoun,DF,ma Morocco,28,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,06a24e51
454,Meshaal Barsham,GK,qa Qatar,24,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d3e92e0
455,Christian Bassogog,MF,cm Cameroon,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,395cd1d9
456,Jan Bednarek,DF,pl Poland,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4115ce4e
457,Alireza Beiranvand,GK,ir IR Iran,29,1992,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6ca0b04a
458,Bartosz Bereszyński,DF,pl Poland,29,1992,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,61b3978f
459,Celso Borges,MF,cr Costa Rica,34,1988,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b8836910
460,Milan Borjan,GK,ca Canada,34,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5e8936be
461,Karim Boudiaf,MF,qa Qatar,31,1990,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a38f33fd
462,Yassine Bounou,GK,ma Morocco,31,1991,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f6798fc3
463,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1989,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d7b2936
464,Martín Cáceres,DF,uy Uruguay,35,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e94d79e3
465,Eduardo Camavinga,DF,fr France,19,2002,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b9c2d84
466,Agustín Canobbio,MF,uy Uruguay,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4f5a2f38
467,Cameron Carter-Vickers,DF,us United States,24,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,88ced02c
468,Dani Carvajal,DF,es Spain,30,1992,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4958bfb2
469,Timothy Castagne,DF,be Belgium,26,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,197640fd
470,Lucas Cavallini,FW,ca Canada,29,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dd8de641
471,Ghaylène Chaalali,MF,tn Tunisia,28,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fb3f920a
472,Daniel Chacón,MF,cr Costa Rica,21,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,065a00d5
473,Ilias Chair,MF,ma Morocco,24,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad7873cb
474,Kwon Chang-hoon,FWMF,kr Korea Republic,27,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7961f7aa
475,Hong Chul,DF,kr Korea Republic,31,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c7de2245
476,Eray Cömert,DF,ch Switzerland,24,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,15937e17
477,Anthony Contreras,FWMF,cr Costa Rica,22,2000,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d05ca2cc
478,Ángel Correa,MF,ar Argentina,27,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01eb744d
479,Diogo Costa,GK,pt Portugal,22,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,93fffbcf
480,Thibaut Courtois,GK,be Belgium,30,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1840e36d
481,Jason Cummings,FW,au Australia,26,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e28fbd0e
482,Aimen Dahmen,GK,tn Tunisia,25,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8bf49030
483,Mikkel Damsgaard,MFFW,dk Denmark,21,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,215f3907
484,Nasser Al-Dawsari,FW,sa Saudi Arabia,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7709e4a6
485,Charles De Ketelaere,FW,be Belgium,21,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2ef7c612
486,Miloš Degenek,DF,au Australia,28,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c8e65157
487,Thomas Delaney,MF,dk Denmark,30,1991,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fe641c1a
488,Eric Dier,DF,eng England,28,1994,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ac861941
489,Alexander Djiku,DFFW,gh Ghana,27,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,43e7a164
490,Jeremy Doku,MFFW,be Belgium,20,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fffea3e5
491,Óscar Duarte,DF,cr Costa Rica,33,1989,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,aa0ac32d
492,Paulo Dybala,FW,ar Argentina,28,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e0921a4f
493,Enzo Ebosse,DF,cm Cameroon,23,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9ba7b4fa
494,Ederson,GK,br Brazil,28,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3bb7b8b4
495,Devis Epassy,GK,cm Cameroon,29,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e171b085
496,Fabinho,MF,br Brazil,28,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f3b388c
497,Salman Al-Faraj,MF,sa Saudi Arabia,32,1989,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,df145034
498,Abdul Fatawu Issahaku,FW,gh Ghana,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bceda5ff
499,Ansu Fati,FW,es Spain,19,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0ba976e4
500,Jesús Ferreira,FW,us United States,21,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f61246d8
501,Juan Foyth,DF,ar Argentina,24,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6c7762c3
502,Alan Franco,MF,ec Ecuador,23,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c76b161b
503,Fabian Frei,MF,ch Switzerland,33,1989,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9fb640a8
504,Hernán Galíndez,GK,ec Ecuador,35,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,89c136f6
505,Nader Ghandri,DF,tn Tunisia,27,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f1c7219
506,Matthias Ginter,DF,de Germany,28,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f521b80a
507,Shūichi Gonda,GK,jp Japan,33,1989,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d8e5492f
508,Kamil Grosicki,MF,pl Poland,34,1988,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,81d8091f
509,Carlos Gruezo,MF,ec Ecuador,27,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f2dd9a21
510,Andrés Guardado,MF,mx Mexico,35,1986,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ef322658
511,Nemanja Gudelj,MFDF,rs Serbia,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0076ab7f
512,Mattéo Guendouzi,FWMF,fr France,23,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5ea8ef20
513,Erick Gutiérrez,MF,mx Mexico,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c7842dab
514,Asiri Haitham,FW,sa Saudi Arabia,21,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9c08d5cd
515,Thorgan Hazard,FW,be Belgium,29,1993,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,50871bcc
516,Wayne Hennessey,GK,wls Wales,35,1987,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,76eca7e2
517,Lucas Hernández,DF,fr France,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c3ee18ef
518,Héctor Herrera,MF,mx Mexico,32,1990,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a8542814
519,Piero Hincapié,DF,ec Ecuador,20,2002,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0c7a48f8
520,Hossein Hosseini,GK,ir IR Iran,29,1992,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fb24817c
521,Majid Hosseini,DF,ir IR Iran,25,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d2161bae
522,Ivan Ilić,MF,rs Serbia,21,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bb376bed
523,Hiroki Ito,DF,jp Japan,23,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,204dded0
524,Nicolas Jackson,FW,sn Senegal,20,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9c36ed83
525,Kristijan Jakić,FW,hr Croatia,25,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a8ee54ad
526,Abolfazl Jalali,DF,ir IR Iran,23,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d932eeee
527,Daniel James,FWMF,wls Wales,24,1997,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c931d9f9
528,Ardon Jasari,FW,ch Switzerland,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,889588db
529,Artur Jędrzejczyk,DF,pl Poland,34,1987,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d1943c8b
530,Raúl Jiménez,FW,mx Mexico,31,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b561db50
531,Son Jun-ho,MFDF,kr Korea Republic,30,1992,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f7c7ba0d
532,Hossein Kanaanizadegan,DF,ir IR Iran,28,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,24353c25
533,Ali Karimi,MF,ir IR Iran,28,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3840bfb9
